Accout Number,Property Type,Property Address Street Number,Property Address Street Dir,Property Address Street Name,Property Address Street Suffix,Property Address Unit Number,Location,Design,Quality,Eff Yr Built,Above Grd SF,Basemt Tot SF,Basemt Fin SF,Basemt Unf SF,Garage Type,Garage SF,Est Land SF,Reception No,Distress Sale,Sale Date (Mon-Yr),Sale Price,Time Adjust Sales Price,Market Area,lat,lon
R0012401,Res,425,S,45TH,ST,,BOULDER,2-3 Story,Average,2000,"1,428",884,884,0,Attached,286,"6,979",3956355,No,2022-04-07 00:00:00,"$1,020,000","$1,020,000",104,39.9867496,-105.24292805
R0010725,Res,515,S,45TH,ST,,BOULDER,Ranch,Average,2001,"1,014",0,0,0,Attached,286,"7,055",3754936,No,2019-12-13 00:00:00,"$576,000","$829,100",104,39.9854417,-105.24292377534496
R0012608,Res,520,S,45TH,ST,,BOULDER,Ranch,Average,1990,"1,222","1,222","1,222",0,,0,"7,377",3807775,No,2020-08-14 00:00:00,"$738,000","$1,020,500",104,39.98546005,-105.2424706
R0014081,Res,545,S,45TH,ST,,BOULDER,Ranch,Average,1958,"1,118","1,118","1,118",0,Attached,252,"7,029",3788863,No,2020-06-03 00:00:00,"$600,000","$846,400",104,39.98489715,-105.24297815
R0014454,Res,635,S,46TH,ST,,BOULDER,Ranch,Average,1983,"1,107","1,106",996,110,,0,"7,489",3795140,No,2020-06-23 00:00:00,"$715,000","$1,008,600",104,39.98405095,-105.24192
R0011734,Res,725,S,46TH,ST,,BOULDER,Ranch,Average,2001,"1,107","1,107","1,107",0,Attached,264,"8,026",3779605,No,2020-04-23 00:00:00,"$950,000","$1,359,300",104,39.9831628,-105.24191962332569
R0013155,Res,730,S,46TH,ST,,BOULDER,2-3 Story,Good,2010,"1,926","1,095",986,109,Attached,435,"6,726",3931157,No,2021-11-24 00:00:00,"$1,700,000","$1,915,400",104,39.9830396,-105.24146014776308
R0013155,Res,730,S,46TH,ST,,BOULDER,2-3 Story,Average,1972,"1,926","1,151",320,831,Attached,435,"6,726",3878768,No,2021-04-19 00:00:00,"$850,000","$1,085,500",104,39.9830396,-105.24146014776308
R0011811,Res,740,S,46TH,ST,,BOULDER,Ranch,Average,1990,"1,107","1,107",533,574,Carport,231,"6,933",3970503,No,2022-06-29 00:00:00,"$975,000","$975,000",104,39.98284865,-105.24142244969109
R0011893,Res,765,S,46TH,ST,,BOULDER,Ranch,Average,1970,"1,107","1,107",951,156,Detached,720,"7,476",3838234,No,2020-11-24 00:00:00,"$740,000","$993,200",104,39.98246615,-105.2419553
R0014142,Res,900,S,46TH,ST,,BOULDER,Ranch,Average,1985,"1,026","1,026",650,376,Attached,297,"8,101",3874449,No,2021-04-02 00:00:00,"$950,000","$1,213,200",104,39.981178,-105.24146345
R0013971,Res,1223,,AIKINS,WAY,,BOULDER,Bi-Level,Average,1995,"1,914",198,0,198,Attached,473,"7,000",3748524,No,2019-11-07 00:00:00,"$741,400","$1,063,700",104,39.97647405,-105.23975834179842
R0012675,Res,1280,,AIKINS,WAY,,BOULDER,Ranch,Average,2000,"1,239",0,0,0,Attached,336,"6,901",3898006,No,2021-07-02 00:00:00,"$830,000","$1,028,800",104,39.97484235,-105.23885279528643
R0008707,Res,3040,,ASH,AVE,,BOULDER,2-3 Story,Average,1970,"1,384",480,480,0,Attached,120,"6,174",3860854,No,2021-02-12 00:00:00,"$685,000","$883,200",104,39.9929877,-105.2572734973671
R0001653,Res,3045,,ASH,AVE,,BOULDER,Ranch,Average,1992,"1,200",0,0,0,,0,"6,628",3846166,No,2020-12-17 00:00:00,"$657,000","$869,800",104,39.993438600000005,-105.2574557
R0005817,Res,3050,,ASH,AVE,,BOULDER,Ranch,Average,1988,"1,224",0,0,0,Attached,240,"6,319",3789155,No,2020-06-05 00:00:00,"$630,000","$882,700",104,39.993100549999994,-105.25712293014604
R0013841,Res,3405,,BERKLEY,AVE,,BOULDER,Split-Level,Average,1994,"1,843",587,440,147,Detached,842,"8,513",3913723,No,2021-09-10 00:00:00,"$1,030,300","$1,217,500",104,39.993579749999995,-105.25263017453508
R0012366,Res,3420,,BERKLEY,AVE,,BOULDER,Ranch,Average,1999,"1,204","1,204","1,084",120,Attached,420,"9,300",3797478,No,2020-07-08 00:00:00,"$798,000","$1,111,800",104,39.9932699,-105.25301831110896
R0011466,Res,3445,,BERKLEY,AVE,,BOULDER,Split-Level,Average,1996,"1,426",0,0,0,Attached,253,"7,093",3735698,No,2019-09-10 00:00:00,"$730,000","$1,040,600",104,39.9932676,-105.25241666852725
R0012730,Res,3465,,BERKLEY,AVE,,BOULDER,Split-Level,Average,1996,"1,420",0,0,0,Attached,288,"7,169",3736251,No,2019-09-13 00:00:00,"$705,000","$1,005,000",104,39.99313585,-105.25224014596938
R0010226,Res,3490,,BERKLEY,AVE,,BOULDER,Ranch,Average,1992,"1,204","1,204","1,204",0,Attached,420,"7,650",3958792,No,2022-04-22 00:00:00,"$1,186,000","$1,186,000",104,39.9927083,-105.2521803534874
R0012964,Res,3655,,BERKLEY,AVE,,BOULDER,Ranch,Average,1980,"1,204","1,204","1,204",0,Attached,420,"7,381",3770969,No,2020-03-09 00:00:00,"$755,200","$1,097,600",104,39.993454400000005,-105.24973505429011
R0014278,Res,3696,,BERKLEY,AVE,,BOULDER,Split-Level,Average,1990,"1,426",575,479,96,Attached,253,"9,130",3761784,No,2020-01-17 00:00:00,"$650,000","$938,600",104,39.993554399999994,-105.2490336
